Lp.,Spółka,Cena emisyjna,Pierwszy dzień,Pierwsze zamknięcie,Kurs na koniec roku,Zmiana kursu od emisji,Zmiana od pierwszego zamknięcia
1,MEWA,2.40,2007-01-03,3.98,0.12,-95.0,-97.0
2,IVMX,25.00,2007-01-11,33.29,33.21,32.8,-0.2
3,PROCAD,35.00,2007-01-15,39.50,2.62,-92.5,-93.4
4,B3SYSTEM,4.00,2007-01-24,6.58,3.67,-8.3,-44.2
5,WARIMPEX,42.83,2007-01-29,56.00,25.00,-41.6,-55.4
6,KOLASTYNA,3.50,2007-02-13,4.05,2.85,-18.6,-29.6
7,HAWE,72.00,2007-02-14,97.00,8.61,-88.0,-91.1
8,ORZEL,28.20,2007-02-15,24.30,0.21,-99.3,-99.1
9,GADUGADU,21.00,2007-02-23,24.40,23.00,9.5,-5.7
10,ESSYSTEM,5.80,2007-03-09,7.09,7.80,34.5,10.0
11,SEKO,15.50,2007-03-15,14.88,18.90,21.9,27.0
12,TFONE,25.00,2007-03-29,29.00,19.50,-22.0,-32.8
13,ELEKTROTI,18.00,2007-04-11,30.50,20.00,11.1,-34.4
14,NTTSYSTEM,4.50,2007-04-12,5.10,2.48,-44.9,-51.4
15,HELIO,10.50,2007-04-16,13.11,6.99,-33.4,-46.7
16,MAKARONPL,9.00,2007-04-18,9.49,5.00,-44.4,-47.3
17,RADPOL,6.80,2007-05-10,8.85,8.10,19.1,-8.5
18,ERBUD,50.00,2007-05-11,91.50,90.60,81.2,-1.0
19,PRONOX,20.00,2007-05-14,21.59,17.40,-13.0,-19.4
20,IMMOEAST,38.57,2007-05-25,40.30,26.19,-32.1,-35.0
21,BUDVARCEN,15.00,2007-05-28,26.80,11.75,-21.7,-56.2
22,NOBLEBANK,10.50,2007-05-30,16.10,12.50,19.1,-22.4
23,ACE,20.50,2007-06-01,20.50,11.80,-42.4,-42.4
24,JWCONSTR,71.00,2007-06-04,80.00,42.45,-40.2,-46.9
25,POLREST,20.00,2007-06-06,26.00,19.80,-1.0,-23.9
26,KREDYTIN,12.00,2007-06-11,13.20,14.40,20.0,9.1
27,MOJ,6.30,2007-06-13,7.11,4.16,-34.0,-41.5
28,GFPREMIUM,28.00,2007-06-14,25.33,16.92,-39.6,-33.2
29,ORCOGROUP,434.98,2007-06-21,470.00,291.00,-33.1,-38.1
30,RAFAMET,64.90,2007-06-25,57.50,23.50,-63.8,-59.1
31,KAREN,16.00,2007-06-27,15.96,2.64,-83.5,-83.5
32,LCCORP,6.50,2007-06-29,6.06,3.03,-53.4,-50.0
33,KOMPUTRON,39.10,2007-07-09,49.75,37.97,-2.9,-23.7
34,MAKRUM,5.30,2007-07-11,6.25,6.75,27.4,8.0
35,PETROLINV,227.00,2007-07-16,590.00,325.00,43.2,-44.9
36,MERCOR,41.00,2007-07-19,56.00,48.40,18.1,-13.6
37,PANOVA,38.00,2007-07-20,46.00,42.49,11.8,-7.6
38,SILVANO,19.81,2007-07-23,21.00,16.80,-15.2,-20.0
39,ABMSOLID,29.50,2007-07-24,34.50,24.37,-17.4,-29.4
40,POLAQUA,77.00,2007-07-30,81.00,78.00,1.3,-3.7
41,ARMATURA,1.80,2007-07-31,2.04,2.04,13.3,0.0
42,STAPORKOW,30.00,2007-08-03,38.59,51.75,72.5,34.1
43,QUANTUM,23.20,2007-08-16,20.10,20.40,-12.1,1.5
44,BOMI,23.00,2007-08-20,20.60,28.00,21.7,35.9
45,KRAKCHEM,7.00,2007-08-23,6.83,3.95,-43.6,-42.2
46,ZASTAL,4.20,2007-08-27,4.00,2.35,-44.1,-41.3
47,ARCUS,17.00,2007-09-10,13.75,10.98,-35.4,-20.2
48,OPONEO,8.00,2007-09-12,7.93,8.50,6.3,7.2
49,HBWLOCLAW,539.50,2007-09-18,555.00,440.00,-18.4,-20.7
50,ENERGOINS,18.00,2007-09-25,18.24,19.40,7.8,6.4
51,OLYMPIC,21.97,2007-09-26,22.15,13.28,-39.6,-40.1
52,RESBUD,42.00,2007-09-27,41.70,29.90,-28.8,-28.3
53,WOLAINFO,22.00,2007-09-28,21.96,15.30,-30.5,-30.3
54,MAGELLAN,42.00,2007-10-01,44.00,42.00,0.0,-4.6
55,RAINBOW,9.00,2007-10-09,8.63,7.77,-13.7,-10.0
56,CPENERGIA,9.00,2007-10-10,9.85,7.80,-13.3,-20.8
57,KPPD,117.00,2007-10-17,115.80,83.65,-28.5,-27.8
58,PLAZACNTR,10.39,2007-10-19,10.78,11.20,7.8,3.9
59,ORZBIALY,28.00,2007-10-22,27.90,22.96,-18.0,-17.7
60,IZOLACJA,64.00,2007-10-23,75.00,43.00,-32.8,-42.7
61,TERESA,27.00,2007-10-24,35.99,28.00,3.7,-22.2
62,ASBIS,6.50,2007-10-30,6.89,8.80,35.4,27.7
63,INTEGERPL,13.50,2007-10-30,14.89,13.65,1.1,-8.3
64,BIPROMET,25.00,2007-10-31,23.98,18.19,-27.2,-24.2
65,RONSON,5.75,2007-11-05,5.70,4.85,-15.7,-14.9
66,ZNTKLAPY,33.00,2007-11-07,29.30,116.10,251.8,296.3
67,INTROL,11.50,2007-11-08,10.84,9.74,-15.3,-10.2
68,COMPLEX,5.00,2007-11-14,4.70,3.29,-34.2,-30.0
69,ASSECOBS,11.00,2007-11-19,11.32,12.50,13.6,10.4
70,PRIMAMODA,12.00,2007-11-20,9.90,7.84,-34.7,-20.8
71,KERNEL,24.00,2007-11-23,24.00,34.00,41.7,41.7
72,WIELTON,7.00,2007-11-28,8.48,8.00,14.3,-5.7
73,CITYINTER,9.00,2007-11-30,11.30,9.00,0.0,-20.4
74,DROP,18.00,2007-12-04,28.50,29.99,66.6,5.2
75,SECOGROUP,37.00,2007-12-05,39.10,45.90,24.1,17.4
76,KONSSTALI,65.00,2007-12-06,74.80,68.90,6.0,-7.9
77,REINHOLD,25.37,2007-12-13,37.20,29.89,17.8,-19.7
78,NEPENTES,17.00,2007-12-14,20.40,20.10,18.2,-1.5
79,UNICREDIT,20.00,2007-12-20,20.10,20.44,2.2,1.7
80,EFH,7.50,2007-12-21,6.86,7.02,-6.4,2.3
81,WARFAMA,4.00,2007-12-27,3.91,3.99,-0.3,2.1
