Lp.,Spółka,Skrót
1,KGHM,KGH
2,PKOBP,PKO
3,PZU,PZU
4,PEKAO,PEO
5,PKNORLEN,PKN
6,TPSA,TPS
7,PGE,PGE
8,PGNIG,PGN
9,JSW,JSW
10,TAURONPE,TPE
11,BORYSZEW,BRS
12,EUROCASH,EUR
13,SYNTHOS,SNS
14,LOTOS,LTS
15,BRE,BRE
16,POLIMEXMS,PXM
17,KERNEL,KER
18,BOGDANKA,LWB
19,GTC,GTC
20,TVN,TVN
21,PETROLINV,OIL
22,ASSECOPOL,ACP
23,MIDAS,MDS
24,PBG,PBG
25,HAWE,HWE
26,HANDLOWY,BHW
27,NETIA,NET
28,CYFRPLSAT,CPS
29,KOV,KOV
30,GETIN,GTN
31,GETINOBLE,GNB
32,MILLENNIUM,MIL
33,GPW,GPW
34,AZOTYTARNOW,ATT
35,INGBSK,BSK
36,ENEA,ENA
37,IDMSA,IDM
38,CDPROJEKT,CDR
39,CIECH,CIE
40,LPP,LPP
41,BIOTON,BIO
42,ALCHEMIA,ALC
43,AMREST,EAT
44,ATLANTIS,ATS
45,CEDC,CDC
46,CEZ,CEZ
47,KREDYTB,KRB
48,AGORA,AGO
49,BOMI,BMI
50,IFCAPITAL,IFC
51,PULAWY,ZAP
52,CCC,CCC
53,SKOTAN,SKT
54,CCIINT,CCI
55,ALIOR,ALR
56,UNICREDIT,UCG
57,CORMAY,CRM
58,EKOEXPORT,EEX
59,BUDIMEX,BDX
60,EMPERIA,EMP
61,BGZ,BGZ
62,ROVESE,RSE
63,ZEPAK,ZEP
64,NEWWORLDR,NWR
65,CALATRAVA,CTC
66,NFIEMF,EMF
67,DSS,DSS
68,KOPEX,KPX
69,KREZUS,KZS
70,ASTARTA,AST
71,TRAKCJA,TRK
72,MOL,MOL
73,RAFAKO,RFK
74,OPENFIN,OPF
75,HBPOLSKA,HBP
76,IMPEXMET,IPX
77,POLNORD,PND
78,BANKBPH,BPH
79,EFH,EFH
80,ORBIS,ORB
81,ECHO,ECH
82,INTEGERPL,ITG
83,SADOVAYA,SGR
84,PEP,PEP
85,POLJADLO,PLJ
86,GREENECO,GET
87,KRUK,KRU
88,RESBUD,RES
89,MCI,MCI
90,TUEUROPA,ERP
91,FON,FON
92,RANKPROGR,RNK
93,GANT,GNT
94,FAMUR,FMF
95,INTERCARS,CAR
96,POLICE,PCE
97,URSUS,URS
98,APATOR,APT
99,DUDA,DUD
100,CITYINTER,CIA
101,SYGNITY,SGN
102,COMP,CMP
103,ORZBIALY,OBL
104,KETY,KTY
105,GRAJEWO,GRJ
106,AMICA,AMC
107,MNI,MNI
108,MILKILAND,MLK
109,BENEFIT,BFT
110,WAWEL,WWL
111,JWCONSTR,JWC
112,MIRBUD,MRB
113,COMARCH,CMR
114,SWIECIE,MSC
115,ZELMER,ZLR
116,AGROTON,AGT
117,BZWBK,BZW
118,PELION,PEL
119,KOGENERA,KGN
120,VISTULA,VST
121,PCGUARD,PCG
122,IMPEL,IPL
123,WASKO,WAS
124,SOBIESKI,BVD
125,LCCORP,LCC
126,OVOSTAR,OVO
127,STALPROD,STP
128,MENNICA,MNC
129,COALENERG,CLE
130,STAPORKOW,ZUK
131,SECOGROUP,SWG
132,BARLINEK,BRK
133,ALTERCO,ALT
134,08OCTAVA,08N
135,FORTUNA,FEG
136,IGROUP,IGR
137,NEUCA,NEU
138,MONNARI,MON
139,KRKA,KRK
140,LENTEX,LTX
141,ZPUE,PUE
142,STALEXP,STX
143,COLIAN,COL
144,ACTION,ACT
145,WESTAISIC,WES
146,GRAAL,GRL
147,FERRUM,FER
148,SILVANO,SFG
149,PLAZACNTR,PLZ
150,IDEON,IDE
151,LUBAWA,LBW
152,HYGIENIKA,HGN
153,MERCOR,MCR
154,ATM,ATM
155,KREDYTIN,KRI
156,BBIDEVNFI,BBD
157,DOMDEV,DOM
158,ZASTAL,ZST
159,SANOK,SNK
160,COGNOR,COG
161,MOSTALZAB,MSZ
162,RELPOL,RLP
163,RUBICON,RBC
164,KSGAGRO,KSG
165,ABPL,ABE
166,MOSTALWAR,MSW
167,GROCLIN,GCN
168,DEBICA,DBC
169,KOMPUTRON,KOM
170,ABMSOLID,ABM
171,ACE,ACE
172,HERKULES,HRS
173,REGNON,REG
174,MIRACULUM,MIR
175,ENERGOINS,ENI
176,IMCOMPANY,IMC
177,EKO,EKO
178,IZOSTAL,IZS
179,BBIZENNFI,BBZ
180,ATMGRUPA,ATG
181,ELBUDOWA,ELB
182,MAGELLAN,MAG
183,BOS,BOS
184,WIELTON,WLT
185,MOSTALEXP,MSX
186,ASBIS,ASB
187,FORTE,FTE
188,JAGO,JAG
189,MIT,MIT
190,ABCDATA,ABC
191,ELKOP,EKP
192,APLISENS,APN
193,MIESZKO,MSO
194,FARMACOL,FCL
195,FERRO,FRO
196,STALPROFI,STF
197,ZETKAMA,ZKA
198,EMCINSMED,EMC
199,NOWAGALA,CNG
200,IPOPEMA,IPE
201,REDAN,RDN
202,OTMUCHOW,OTM
203,SFINKS,SFS
204,BLACKLION,BLI
205,CHEMOS,CHS
206,ENERGOPLD,EPD
207,OPONEO.PL,OPN
208,AMBRA,AMB
209,TESGAS,TSG
210,PAGED,PGD
211,KINOPOL,KPL
212,RADPOL,RDL
213,SOLAR,SOL
214,FASING,FSG
215,ACAUTOGAZ,ACG
216,PEPEES,PPS
217,ATREM,ATR
218,AVIASG,ASG
219,ZAMET,ZMT
220,QUMAKSEK,QSM
221,ENERGOPOL,EPL
222,PROTEKTOR,PRT
223,NOVITA,NVT
224,ORCOGROUP,OPG
225,VANTAGE,VTG
226,ARMATURA,ARM
227,ZYWIEC,ZWC
228,4FUNMEDIA,4FM
229,PBSFINANSE,PBF
230,SNIEZKA,SKA
231,IQP,IQP
232,UNIBEP,UNI
233,KANIA,KAN
234,PLASTBOX,PLX
235,INTERSPPL,IPO
236,HYDROTOR,HDR
237,BERLING,BRG
238,06MAGNA,06N
239,TIM,TIM
240,ARCTIC,ATC
241,ZREMB,ZRE
242,GINOROSSI,GRI
243,BIPROMET,BPM
244,LENA,LEN
245,WORKSERV,WSE
246,ERG,ERG
247,BUDOPOL,BDL
248,K2INTERNT,K2I
249,WARIMPEX,WXF
250,LSTCAPITA,LST
251,JHMDEV,JHM
252,INSTALKRK,INK
253,CAPITAL,CPA
254,SWISSMED,SWD
255,ALMA,ALM
256,ELEKTROTI,ELT
257,PANOVA,NVA
258,ASSECOBS,ABS
259,MWTRADE,MWT
260,KOELNER,KLR
261,PGODLEW,PGO
262,KRUSZWICA,KSW
263,POLAQUA,PQA
264,PBOANIOLA,PBO
265,ASSECOSLO,ACS
266,ADVGRUPA,ADV
267,ZUE,ZUE
268,ASSECOSEE,ASE
269,ERGIS,EEF
270,NTTSYSTEM,NTT
271,BBICAPNFI,BBC
272,IDEATFI,IDA
273,MEDIATEL,MTL
274,SELENAFM,SEL
275,ONE2ONE,O2O
276,PEKAES,PEK
277,ADVADIS,ADS
278,NOVAKBM,KBM
279,PROCHNIK,PRC
280,ERBUD,ERB
281,INVESTCON,INC
282,POINTGROUP,PGM
283,JUPITER,JPR
284,HUTMEN,HTM
285,ODLEWNIE,ODL
286,FOTA,FOT
287,MAKRUM,MKM
288,PROJPRZEM,PJP
289,BUMECH,BMC
290,SANWIL,SNW
291,CENTKLIMA,CKL
292,PROCHEM,PRM
293,PRAGMAINK,PRI
294,COMPLEX,CMX
295,KRAKCHEM,KCH
296,RAINBOW,RBW
297,EUCO,EUC
298,EUIMPLANT,EUI
299,RONSON,RON
300,CAMMEDIA,CAM
301,BSCDRUK,BSC
302,VINDEXUS,VIN
303,INTAKUS,ITK
304,ATMSI,ASI
305,DECORA,DCR
306,ROPCZYCE,RPC
307,PEGAS,PGS
308,DUON,DUO
309,LIBET,LBT
310,POZBUD,POZ
311,DROZAPOL,DPL
312,ENELMED,ENE
313,KCI,KCI
314,MOSTALPLC,MSP
315,FAM,FAM
316,ARTERIA,ARR
317,TELL,TEL
318,MARVIPOL,MVP
319,ESSYSTEM,ESS
320,EDINVEST,EDI
321,GETINOBLE1,GNB1
322,REINHOLD,RHD
323,NETMEDIA,NEM
324,ULMA,ULM
325,YAWAL,YWL
326,DROP,DRP
327,PRESCO,PRE
328,HYPERION,HYP
329,DGA,DGA
330,DRAGOWSKI,ADD
331,ARCUS,ARC
332,BAKALLAND,BAK
333,ROBYG,ROB
334,DMWDM,WDM
335,HARPER,HRP
336,BETACOM,BCM
337,PTI,PTI
338,WILBO,WLB
339,NORTCOAST,NCT
340,TFONE,TFO
341,EUROTEL,ETL
342,SKYLINE,SKL
343,DELKO,DEL
344,CASHFLOW,CFL
345,ENAP,ENP
346,QUERCUS,QRS
347,WIKANA,WIK
348,BMPAG,BMP
349,REMAK,RMK
350,VOXEL,VOX
351,CCENERGY,CCE
352,KREC,KRC
353,IVMX,IMX
354,POLNA,PLA
355,PATENTUS,PAT
356,HELIO,HEL
357,LIBRA,LBC
358,LSISOFT,LSI
359,NOKAUT,NOK
360,INTROL,INL
361,OPTEAM,OPM
362,IZOLACJA,IZO
363,BYTOM,BTM
364,TUP,TUP
365,TRANSPOL,TRN
366,MAKARONPL,MAK
367,VOTUM,VOT
368,PCCINTER,PCI
369,KOMPAP,KMP
370,ELZAB,ELZ
371,PROCAD,PRD
372,ATLANTAPL,ATP
373,POLCOLORIT,PLT
375,SONEL,SON
374,WANDALEX,WDX
376,INTERAOLT,IRL
377,PWRMEDIA,PWM
378,SIMPLE,SME
379,ATLASEST,ATL
380,B3SYSTEM,B3S
381,POLMED,POM
382,AWBUD,AWB
383,PRAGMAFA,PRF
384,SKOK,SKO
385,SUWARY,SUW
386,INTERBUD,ITB
387,KBDOM,KBD
388,MEWA,MEW
389,MCLOGIC,MCL
390,TOYA,TOA
391,EUROMARK,EMK
392,WADEX,WAX
393,OLYMPIC,OEG
394,VARIANT,VRT
395,PERMEDIA,PMD
396,INTERFERI,INF
397,WISTIL,WST
398,PCCEXOL,PCX
399,WOJAS,WOJ
400,BEDZIN,BDZ
401,DREWEX,DRE
402,FASTFIN,FFI
403,KONSSTALI,KST
404,PAMAPOL,PMP
405,MUZA,MZA
406,TRITON,TRI
407,SEKO,SEK
408,TRAVELPL,TVL
409,EFEKT,EFK
410,INDYKPOL,IND
411,AGROWILL,AWG
412,TALEX,TLX
413,BOWIM,BOW
414,AMPLI,APL
415,PRIMAMODA,PMA
416,TERESA,TER
417,MOBRUK,MBR
418,GREMISLTN,GRS
419,UNIMA,U2K
420,INPRO,INP
421,MEGARON,MEG
422,ECARD,ECD
423,KOFOLA,KFL
424,TATRY,TMR
425,CELTIC,CPD
426,RAFAMET,RAF
427,KDMSHIPNG,KDM
428,NORDEABP,NDA
429,MOJ,MOJ
430,KPPD,KPD
431,EXILLON,EXL
432,MISPOL,MIP
433,PEMUG,PMG
434,BUDVARCEN,BDV
435,MEXPOLSKA,MEX
436,EUROHOLD,EHG
437,NEWWORLDN,NWN
438,BEST,BST
439,POLLENAE,PLE
440,QUANTUM,QNT
441,SOPHARMA,SPH
442,BNPPL,BNP
443,ELSTAROIL,ELS
444,ESTAR,EST
